"","site_id","date","AmpRatio","PhaseLag_h","Ratio_Mean","YEAR","AR_roll3","AR_roll7","AR_roll15","MR_roll3","MR_roll7","PL_roll7","PL_roll3"
"5718","W3_3",2023-10-31,0.03,2.14,1.04,2023,0.526666666666667,0.298571428571429,0.298666666666667,1.02666666666667,1.00285714285714,-5.03428571428571,-1.91333333333333
"5719","W3_3",2023-11-01,0.02,-9.62,1.04,2023,0.253333333333333,0.292857142857143,0.257333333333333,1.03333333333333,1.01,-5.13,-4.45333333333333
"5720","W3_3",2023-11-02,0.04,-7.76,1.04,2023,0.03,0.274285714285714,0.216,1.04,1.01857142857143,-5.31571428571429,-5.08
"5721","W3_3",2023-11-03,0.08,1.61,1.02,2023,0.0466666666666667,0.262857142857143,0.182666666666667,1.03333333333333,1.02428571428571,-3.93142857142857,-5.25666666666667
"5722","W3_3",2023-11-04,0.31,-8.19,1,2023,0.143333333333333,0.29,0.177333333333333,1.02,1.02571428571429,-4.24285714285714,-4.78
"5723","W3_3",2023-11-05,0.14,-4.93,1.01,2023,0.176666666666667,0.19,0.182,1.01,1.02428571428571,-4.66142857142857,-3.83666666666667
"5724","W3_3",2023-11-06,0.72,-9.03,1.02,2023,0.39,0.191428571428571,0.228666666666667,1.01,1.02428571428571,-5.11142857142857,-7.38333333333333
"5725","W3_3",2023-11-07,0.3,2.73,1.01,2023,0.386666666666667,0.23,0.248666666666667,1.01333333333333,1.02,-5.02714285714286,-3.74333333333333
"5726","W3_3",2023-11-08,0.2,0.94,1.04,2023,0.406666666666667,0.255714285714286,0.26,1.02333333333333,1.02,-3.51857142857143,-1.78666666666667
"5727","W3_3",2023-11-09,0.39,1.01,1.03,2023,0.296666666666667,0.305714285714286,0.282,1.02666666666667,1.01857142857143,-2.26571428571429,1.56
"5728","W3_3",2023-11-10,0.4,4.57,1.02,2023,0.33,0.351428571428571,0.297333333333333,1.03,1.01857142857143,-1.84285714285714,2.17333333333333
"5729","W3_3",2023-11-11,0.15,-0.51,1.02,2023,0.313333333333333,0.328571428571429,0.296666666666667,1.02333333333333,1.02142857142857,-0.745714285714286,1.69
"5730","W3_30",2023-07-03,0.01,3,0.97,2023,NA,NA,NA,NA,NA,NA,NA
"5731","W3_30",2023-07-04,0.01,-7.11,0.97,2023,NA,NA,NA,NA,NA,NA,NA
"5732","W3_30",2023-07-05,0.33,-5.97,0.97,2023,0.116666666666667,NA,NA,0.97,NA,NA,-3.36
"5733","W3_30",2023-07-06,0.47,-7.16,0.97,2023,0.27,NA,NA,0.97,NA,NA,-6.74666666666667
"5734","W3_30",2023-07-07,0.48,-4.92,0.98,2023,0.426666666666667,NA,NA,0.973333333333333,NA,NA,-6.01666666666667
